Date,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,
Time,9:03:40,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PlateType,384PP_DMSO2,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,AA00009981,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio
I2,8,1,59939.33163,35854.4124,17184.826,,,32.046881,2.796875,,,,,32.664881,1.9375,,,36.098881,3.984375,,,,,0.618,0.692737
I3,8,2,64430.17863,35854.4124,17184.826,,,32.014881,2.828125,32.632881,3.984375,,,,,,,,,,,,,0.618,
I4,8,3,68921.02563,35854.4124,17184.826,,,31.994881,2.765625,32.610881,3.984375,,,,,,,,,,,,,0.616,
I5,8,4,73411.87263,35854.4124,17184.826,,,31.974881,2.796875,32.592881,3.984375,,,,,,,,,,,,,0.618,
I6,8,5,77902.71963,35854.4124,17184.826,,,31.960881,2.796875,32.576881,3.984375,,,,,,,,,,,,,0.616,
I7,8,6,82393.56663,35854.4124,17184.826,,,31.950881,2.734375,32.568881,3.984375,,,,,,,,,,,,,0.618,
I8,8,7,86884.41363,35854.4124,17184.826,,,31.942881,2.734375,32.562881,3.984375,,,,,,,,,,,,,0.62,
I9,8,8,91375.26063,35854.4124,17184.826,,,31.938881,2.765625,32.558881,3.984375,,,,,,,,,,,,,0.62,
I10,8,9,95866.10763,35854.4124,17184.826,,,31.940881,2.6875,32.562881,3.984375,,,,,,,,,,,,,0.622,
I11,8,10,100356.9546,35854.4124,17184.826,,,31.942881,2.703125,32.560881,3.984375,,,,,,,,,,,,,0.618,
I12,8,11,104847.8016,35854.4124,17184.826,,,31.932881,2.75,32.552881,3.984375,,,,,,,,,,,,,0.62,
I13,8,12,109338.6486,35854.4124,17184.826,,,31.930881,2.59375,32.546881,3.984375,,,,,,,,,,,,,0.616,
I14,8,13,113829.4956,35854.4124,17184.826,,,31.930881,2.40625,32.546881,3.984375,,,,,,,,,,,,,0.616,
I15,8,14,118320.3426,35854.4124,17184.826,,,31.924881,2.328125,32.542881,3.984375,,,,,,,,,,,,,0.618,
I16,8,15,122811.1896,35854.4124,17184.826,,,31.916881,2.4375,32.534881,3.984375,,,,,,,,,,,,,0.618,
I17,8,16,127302.0366,35854.4124,17184.826,,,31.910881,2.4375,32.528881,3.984375,,,,,,,,,,,,,0.618,
I18,8,17,131792.8836,35854.4124,17184.826,,,31.912881,2.4375,32.528881,3.984375,,,,,,,,,,,,,0.616,
I19,8,18,136283.7306,35854.4124,17184.826,,,31.916881,2.390625,32.528881,3.984375,,,,,,,,,,,,,0.612,
I20,8,19,140774.5776,35854.4124,17184.826,,,31.924881,2.3125,32.534881,3.984375,,,,,,,,,,,,,0.61,
I21,8,20,145265.4246,35854.4124,17184.826,,,31.936881,2.4375,32.546881,3.984375,,,,,,,,,,,,,0.61,
I22,8,21,149756.2716,35854.4124,17184.826,,,31.952881,2.484375,32.560881,3.984375,,,,,,,,,,,,,0.608,
I23,8,22,154247.1186,35854.4124,17184.826,,,31.970881,2.578125,32.578881,3.984375,,,,,,,,,,,,,0.608,
I24,8,23,158737.9656,35854.4124,17184.826,,,31.974881,2.8125,32.580881,3.984375,,,,,,,,,,,,,0.606,
 Kernel data :: Row : 0,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.85619,0,0.612,1,,,,,,,,,,,,,,,,,,,,,
1,2.83836,1,0.616,1,,,,,,,,,,,,,,,,,,,,,
2,2.82457,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
3,2.8518,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.82933,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
5,2.8381,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
6,2.74695,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
7,2.81356,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.79869,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.79766,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.83049,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.83466,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
12,2.73911,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
13,2.38788,0,0.618,0,,,,,,,,,,,,,,,,,,,,,
14,2.34357,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
15,2.44191,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
16,2.42952,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
17,2.36472,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
18,2.28399,0,0.614,0,,,,,,,,,,,,,,,,,,,,,
19,2.34443,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
20,2.32335,0,0.612,0,,,,,,,,,,,,,,,,,,,,,
21,2.38,0,0.61,0,,,,,,,,,,,,,,,,,,,,,
22,2.768,1,0.612,0,,,,,,,,,,,,,,,,,,,,,
23,2.79483,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 1,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.81991,1,0.614,1,,,,,,,,,,,,,,,,,,,,,
1,2.78735,1,0.618,1,,,,,,,,,,,,,,,,,,,,,
2,2.83567,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
3,2.78425,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.82641,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
5,2.83322,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
6,2.77468,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
7,2.7787,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.81252,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.73207,1,0.622,0,,,,,,,,,,,,,,,,,,,,,
10,2.74695,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.79972,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
12,2.64161,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
13,2.45065,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
14,2.3737,0,0.618,0,,,,,,,,,,,,,,,,,,,,,
15,2.48888,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
16,2.49162,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
17,2.49071,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
18,2.44102,1,0.612,0,,,,,,,,,,,,,,,,,,,,,
19,2.35777,0,0.61,0,,,,,,,,,,,,,,,,,,,,,
20,2.47974,1,0.61,0,,,,,,,,,,,,,,,,,,,,,
21,2.52012,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
22,2.60714,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
23,2.8422,1,0.606,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data ::  Kernel Observation ,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.81991,1,0.613,1,,,,,,,,,,,,,,,,,,,,,
1,2.81286,1,0.617,1,,,,,,,,,,,,,,,,,,,,,
2,2.83012,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2.81802,1,0,0,,,,,,,,,,,,,,,,,,,,,
4,2.82787,1,0,0,,,,,,,,,,,,,,,,,,,,,
5,2.83566,1,0,0,,,,,,,,,,,,,,,,,,,,,
6,2.76081,1,0,0,,,,,,,,,,,,,,,,,,,,,
7,2.79613,1,0,0,,,,,,,,,,,,,,,,,,,,,
8,2.80561,1,0,0,,,,,,,,,,,,,,,,,,,,,
9,2.76487,1,0,0,,,,,,,,,,,,,,,,,,,,,
10,2.78872,1,0,0,,,,,,,,,,,,,,,,,,,,,
11,2.81719,1,0,0,,,,,,,,,,,,,,,,,,,,,
12,2.69036,1,0,0,,,,,,,,,,,,,,,,,,,,,
13,2.45065,1,0,0,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15,2.4654,1,0,0,,,,,,,,,,,,,,,,,,,,,
16,2.46057,1,0,0,,,,,,,,,,,,,,,,,,,,,
17,2.49071,1,0,0,,,,,,,,,,,,,,,,,,,,,
18,2.44102,1,0,0,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
20,2.47974,1,0,0,,,,,,,,,,,,,,,,,,,,,
21,2.52012,1,0,0,,,,,,,,,,,,,,,,,,,,,
22,2.68757,1,0,0,,,,,,,,,,,,,,,,,,,,,
23,2.81852,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CLAS:: 384PPG :: Total score for Kernel based Classification 0.40586 ( bb vpp : 0.40586, tb-bb tof : 0 ),,,,,,,,,,,,,,,,,,,,,,,,
SCORE 384PPG::,,,,,,,,,,,,,,,,,,,,,,,,,
TOT:,0.40586,BBVPP,0.40586,(n=22),BOTTHICK:,0,(n=2),,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 0,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.875,0,0.612,1,,,,,,,,,,,,,,,,,,,,,
1,2.84375,1,0.616,1,,,,,,,,,,,,,,,,,,,,,
2,2.8125,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
3,2.82813,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.79688,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
5,2.79688,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
6,2.70313,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
7,2.76563,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.75,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.75,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
10,2.78125,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.78125,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
12,2.6875,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
13,2.34375,0,0.618,0,,,,,,,,,,,,,,,,,,,,,
14,2.29688,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
15,2.39063,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
16,2.375,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
17,2.3125,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
18,2.23438,0,0.614,0,,,,,,,,,,,,,,,,,,,,,
19,2.29688,0,0.616,0,,,,,,,,,,,,,,,,,,,,,
20,2.28125,0,0.612,0,,,,,,,,,,,,,,,,,,,,,
21,2.34375,0,0.61,0,,,,,,,,,,,,,,,,,,,,,
22,2.73438,1,0.612,0,,,,,,,,,,,,,,,,,,,,,
23,2.76563,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data :: Row : 1,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.84375,1,0.614,1,,,,,,,,,,,,,,,,,,,,,
1,2.79688,1,0.618,1,,,,,,,,,,,,,,,,,,,,,
2,2.82813,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
3,2.76563,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
4,2.79688,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
5,2.79688,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
6,2.73438,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
7,2.73438,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
8,2.76563,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
9,2.6875,1,0.622,0,,,,,,,,,,,,,,,,,,,,,
10,2.70313,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
11,2.75,1,0.62,0,,,,,,,,,,,,,,,,,,,,,
12,2.59375,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
13,2.40625,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
14,2.32813,0,0.618,0,,,,,,,,,,,,,,,,,,,,,
15,2.4375,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
16,2.4375,1,0.618,0,,,,,,,,,,,,,,,,,,,,,
17,2.4375,1,0.616,0,,,,,,,,,,,,,,,,,,,,,
18,2.39063,1,0.612,0,,,,,,,,,,,,,,,,,,,,,
19,2.3125,0,0.61,0,,,,,,,,,,,,,,,,,,,,,
20,2.4375,1,0.61,0,,,,,,,,,,,,,,,,,,,,,
21,2.48438,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
22,2.57813,1,0.608,0,,,,,,,,,,,,,,,,,,,,,
23,2.8125,1,0.606,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 Kernel data ::  Kernel Observation ,,,,,,,,,,,,,,,,,,,,,,,,,
 Col, BB-Val, BB-Mask, BotThickVal, BotThickMask ,,,,,,,,,,,,,,,,,,,,,
0,2.84375,1,0.613,1,,,,,,,,,,,,,,,,,,,,,
1,2.82031,1,0.617,1,,,,,,,,,,,,,,,,,,,,,
2,2.82031,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2.79688,1,0,0,,,,,,,,,,,,,,,,,,,,,
4,2.79688,1,0,0,,,,,,,,,,,,,,,,,,,,,
5,2.79688,1,0,0,,,,,,,,,,,,,,,,,,,,,
6,2.71875,1,0,0,,,,,,,,,,,,,,,,,,,,,
7,2.75,1,0,0,,,,,,,,,,,,,,,,,,,,,
8,2.75781,1,0,0,,,,,,,,,,,,,,,,,,,,,
9,2.71875,1,0,0,,,,,,,,,,,,,,,,,,,,,
10,2.74219,1,0,0,,,,,,,,,,,,,,,,,,,,,
11,2.76563,1,0,0,,,,,,,,,,,,,,,,,,,,,
12,2.64063,1,0,0,,,,,,,,,,,,,,,,,,,,,
13,2.40625,1,0,0,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
15,2.41406,1,0,0,,,,,,,,,,,,,,,,,,,,,
16,2.40625,1,0,0,,,,,,,,,,,,,,,,,,,,,
17,2.4375,1,0,0,,,,,,,,,,,,,,,,,,,,,
18,2.39063,1,0,0,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
20,2.4375,1,0,0,,,,,,,,,,,,,,,,,,,,,
21,2.48438,1,0,0,,,,,,,,,,,,,,,,,,,,,
22,2.65625,1,0,0,,,,,,,,,,,,,,,,,,,,,
23,2.78906,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CLAS:: 384PPL :: Total score for Kernel based Classification 0.289493 ( bb vpp : 0.289493, tb-bb tof : 0 ),,,,,,,,,,,,,,,,,,,,,,,,
SCORE 384PPL::,,,,,,,,,,,,,,,,,,,,,,,,,
TOT:,0.289493,BBVPP,0.289493,(n=22),BOTTHICK:,0,(n=2),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Classification results summary:,,,,,,,,,,,,,,,,,,,,,,,,,
Classified plate name,Tol. tier,score,threshold,,,,,,,,,,,,,,,,,,,,,,
384PPG_DMSO2,TIGHT,0.40586,0.6,,,,,,,,,,,,,,,,,,,,,,
384PPL_DMSO2,TIGHT,0.289493,0.6,,,,,,,,,,,,,,,,,,,,,,
384PPG_DMSO2,LOOSE,0.40586,0, <----- This was the plate-model chosen as the classified plate ****************************************,,,,,,,,,,,,,,,,,,,,,
384PPL_DMSO2,LOOSE,0.289493,0,,,,,,,,,,,,,,,,,,,,,,
