Date,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,
Time,9:03:35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PlateType,384PP_DMSO2,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,AA00009981,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WellName,WellRow,WellColumn,GeoX,GeoY,TransducerZ,Wall ToF (us), Wall Vpp,EW BB ToF (us), EW BB Vpp,EW TB ToF (us), EW TB Vpp,FW BB ToF (us), FW BB Vpp,FW TB1 ToF (us), FW TB1 Vpp,FW TB2 ToF (us), FW TB2 Vpp,SR ToF (us), SR Vpp,SR2 ToF (us), SR2 Vpp,Well Round Trip ToF (us), Well Round Trip Vpp,Bottom Thickness (us), BottomEchoAmpRatio
1,2.57813,1,0.618,1,,,,,,,,,,,,,,,,,,,,,
2,2.50781,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2.625,1,0,0,,,,,,,,,,,,,,,,,,,,,
4,2.72656,1,0,0,,,,,,,,,,,,,,,,,,,,,
5,2.75781,1,0,0,,,,,,,,,,,,,,,,,,,,,
6,2.57813,1,0,0,,,,,,,,,,,,,,,,,,,,,
7,2.71094,1,0,0,,,,,,,,,,,,,,,,,,,,,
8,2.73438,1,0,0,,,,,,,,,,,,,,,,,,,,,
9,2.54688,1,0,0,,,,,,,,,,,,,,,,,,,,,
10,2.60156,1,0,0,,,,,,,,,,,,,,,,,,,,,
11,2.66406,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CLAS:: 384PPL :: Total score for Kernel based Classification -0.0529136 ( bb vpp : -0.0529136, tb-bb tof : 0 ),,,,,,,,,,,,,,,,,,,,,,,,
SCORE 384PPL::,,,,,,,,,,,,,,,,,,,,,,,,,
TOT:,-0.0529136,BBVPP,-0.0529136,(n=12),BOTTHICK:,0,(n=2),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Classification results summary:,,,,,,,,,,,,,,,,,,,,,,,,,
Classified plate name,Tol. tier,score,threshold,,,,,,,,,,,,,,,,,,,,,,
384PPG_DMSO2,TIGHT,-0.715412,0.6,,,,,,,,,,,,,,,,,,,,,,
384PPL_DMSO2,TIGHT,-0.0529136,0.6,,,,,,,,,,,,,,,,,,,,,,
384PPG_DMSO2,LOOSE,-0.715412,0,,,,,,,,,,,,,,,,,,,,,,
384PPL_DMSO2,LOOSE,-0.0529136,0,,,,,,,,,,,,,,,,,,,,,,
